"fid","ART","NAME_DT","BHD","HOEHE","class","n_staemme","gwGruppe"
1,"Laubbaum","Winterlinde",38,12.4,"Buche",1,8
2,"Laubbaum","Winterlinde",36,12,"Buche",1,8
3,"Laubbaum","Winterlinde",57,16.2,"Buche",1,10
4,"Laubbaum","Amerikanische Gleditschie",40,11.5,"Eiche",1,8
5,"Laubbaum","Amerikanische Gleditschie",35,11.5,"Eiche",1,7
6,"Laubbaum","Winterlinde",20,8.3,"Buche",1,6
7,"Laubbaum","Winterlinde",20,8.4,"Buche",1,6
8,"Laubbaum","Winterlinde",20,8.7,"Buche",1,5
9,"Laubbaum","Winterlinde",28,12.8,"Buche",1,6
10,"Laubbaum","Winterlinde",20,8.4,"Buche",1,6
11,"Laubbaum","Winterlinde",21,10,"Buche",1,5
12,"Laubbaum","Winterlinde",23,9.9,"Buche",1,5
13,"Laubbaum","Gewöhnliche Rosskastanie",33,9.3,"Buche",1,8
14,"Laubbaum","Spitzahorn",23,10.1,"Eiche",1,5
15,"Laubbaum","Bergahorn",19,8.5,"Eiche",1,5
16,"Laubbaum","Bergahorn",24,12.2,"Eiche",1,6
17,"Laubbaum","Bergahorn",17,8,"Eiche",1,4
18,"Laubbaum","Bergahorn",24,11.2,"Eiche",1,6
19,"Laubbaum","Winterlinde",36,16.1,"Buche",1,7
20,"Laubbaum","Papierbirke",20,8.7,"Eiche",1,5
21,"Laubbaum","Grau-Erle",34,7.9,"Eiche",1,8
22,"Laubbaum","Winterlinde",23,9.5,"Buche",1,5
23,"Nadelbaum","Schwarzkiefer",28,11.8,"Kiefer",1,6
24,"Nadelbaum","Schwarzkiefer",30,9.2,"Kiefer",1,7
25,"Nadelbaum","Schwarzkiefer",36,10.2,"Kiefer",1,8
26,"Laubbaum","Hainbuche",33,11.6,"Buche",1,7
27,"Laubbaum","Winterlinde",57,12.1,"Buche",1,10
38,"Laubbaum","Winterlinde",36,14.5,"Buche",1,7
39,"Laubbaum","Winterlinde",29,9,"Buche",1,7
40,"Laubbaum","Winterlinde",28,12.7,"Buche",1,6
41,"Laubbaum","Winterlinde",26,12,"Buche",1,6
42,"Laubbaum","Winterlinde",23,10.7,"Buche",1,5
43,"Laubbaum","Winterlinde",30,13,"Buche",1,6
44,"Laubbaum","Winterlinde",25,12.2,"Buche",1,6
45,"Laubbaum","Winterlinde",24,13,"Buche",1,6
46,"Laubbaum","Amerikanischer Amberbaum",7,5.8,"Eiche",1,1
47,"Laubbaum","Winterlinde",20,10.9,"Buche",1,5
48,"Laubbaum","Winterlinde",22,9.9,"Buche",1,5
