fid,ART,NAME_DT,NAME_LAT,BHD,KRONE_D,HOEHE,KOMMENTAR
1,Laubbaum,Winterlinde,Tilia cordata,0.38,10,12.4,"8 qm, Rindenmulch "
2,Laubbaum,Winterlinde,Tilia cordata,0.36,10,12,"8 qm, Rindenmulch "
3,Laubbaum,Winterlinde,Tilia cordata,0.57,15.5,16.2,"8 qm,  Rindenmulch"
4,Laubbaum,Amerikanische Gleditschie,Gleditisia triacanthos,0.4,12.7,11.5,
5,Laubbaum,Amerikanische Gleditschie,Gleditisia triacanthos,0.35,10.7,11.5,
6,Laubbaum,Winterlinde,Tilia cordata,0.2,7,8.3,"3 qm,  verdichteter Boden"
7,Laubbaum,Winterlinde,Tilia cordata,0.2,6.2,8.4,"3 qm,  verdichteter Boden"
8,Laubbaum,Winterlinde,Tilia cordata,0.2,5.5,8.7,"3 qm,  verdichteter Boden"
9,Laubbaum,Winterlinde,Tilia cordata,0.28,7.5,12.8,"3 qm,  verdichteter Boden"
10,Laubbaum,Winterlinde,Tilia cordata,0.2,7,8.4,"3 qm,  verdichteter Boden"
11,Laubbaum,Winterlinde,Tilia cordata,0.21,7.5,10,"3 qm,  verdichteter Boden"
12,Laubbaum,Winterlinde,Tilia cordata,0.23,7,9.9,"3 qm, verdichteter Boden"
13,Laubbaum,Gewöhnliche Rosskastanie,Aesculus hippocastanum,0.33,8.4,9.3,3 qm 
14,Laubbaum,Spitzahorn,Acer platanoides,0.23,8.3,10.1,"4 qm, Rigole mit Spontanbewuchs "
15,Laubbaum,Bergahorn,Acer pseudoplatanus,0.19,5,8.5,BHD geschätzt
16,Laubbaum,Bergahorn,Acer pseudoplatanus,0.24,6,12.2,
17,Laubbaum,Bergahorn,Acer pseudoplatanus,0.17,5.5,8,
18,Laubbaum,Bergahorn,Acer pseudoplatanus,0.24,6,11.2,
19,Laubbaum,Winterlinde,Tilia cordata,0.36,10,16.1,
20,Laubbaum,Papierbirke,Betula papyrifera,0.2,7.6,8.7,
21,Laubbaum,Grau-Erle,Alnus incana,0.34,8,7.9,
22,Laubbaum,Winterlinde,Tilia cordata,0.23,7,9.5,
